id,symbol,name,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath_change_percentage,atl_change_percentage
ai16z,ai16z,ai16z,1.43,1571536382,81,1571536382.0,619569908.0,1.71,1.33,-0.021653045487459277,-1.49384,-5865158.307672024,-0.37182,1099999316.993208,1099999316.993208,1099999958.01,-41.88766,13959.59275
floki,floki,FLOKI,0.00016187,1571013828,82,1623995388.0,249524797.0,0.00016828,0.00015928,-3.343702054163e-06,-2.02387,-36482977.01108742,-2.26955,9673757938404.0,10000000000000.0,10000000000000.0,-52.94276,192500.88453
dogwifcoin,wif,dogwifhat,1.54,1539123351,83,1539123351.0,589459662.0,1.63,1.5,-0.05637392837327604,-3.53158,-64373475.828131914,-4.01457,998926392.0,998926392.0,998926392.0,-67.97428,99304.96928
jasmycoin,jasmy,JasmyCoin,0.03092104,1497637219,84,1546506835.0,145972543.0,0.03303079,0.0307023,-0.001391187632084706,-4.30545,-65879717.42212081,-4.21356,48419999999.3058,50000000000.0,50000000000.0,-99.35274,1027.33147
mantle-staked-ether,meth,Mantle Staked Ether,3400.25,1474630484,85,1474630484.0,23642710.0,3506.78,3329.23,-73.38752429865599,-2.1127,-29953265.830168962,-1.9908,433451.2071723949,433451.2071723949,,-27.98087,59.01674
quant-network,qnt,Quant,100.88,1468031543,86,1474927174.0,30422095.0,105.22,99.87,-3.5245732727581327,-3.37575,-50782189.484562874,-3.34354,14544176.164091088,14612493.0,14612493.0,-76.27163,46903.20397
binance-staked-sol,bnsol,Binance Staked SOL,190.46,1467708990,87,1467708990.0,10041689.0,197.46,188.09,-5.663616806908209,-2.88773,-36540362.19952059,-2.42914,7697124.314336921,7697124.314336921,,-28.78261,49.84559
gala,gala,GALA,0.03390347,1437990065,88,1437991123.0,236170265.0,0.03551394,0.03293569,-0.000585129081029666,-1.69659,-27346145.72604108,-1.8662,42394284284.83909,42394315493.02892,50000000000.0,-95.88329,25099.47369
lido-dao,ldo,Lido DAO,1.6,1432495913,89,1598683970.0,171374759.0,1.69,1.56,-0.04534175848442357,-2.75896,-40221440.78126383,-2.7311,896046961.4578881,1000000000.0,1000000000.0,-78.06366,294.4315
the-sandbox,sand,The Sandbox,0.574583,1405498745,90,1723933991.0,188569334.0,0.598399,0.569424,-0.01711302272427262,-2.8922,-44184549.336749315,-3.04788,2445857126.2233224,3000000000.0,3000000000.0,-93.13298,1889.84239
xdce-crowd-sale,xdc,XDC Network,0.093776,1401378114,91,3561894305.0,58356978.0,0.098086,0.088197,0.00152812,1.65654,24251186.0,1.761,14930338781.9,37948565174.7,,-51.20242,23693.33455
raydium,ray,Raydium,4.71,1372480195,92,2618619106.0,98444120.0,5.01,4.66,-0.2992207153394215,-5.97485,-86918303.98376918,-5.95576,290888623.959345,555000000.0,555000000.0,-71.90382,3419.12262
jupiter-exchange-solana,jup,Jupiter,0.786944,1327890467,93,7873909974.0,89787022.0,0.819434,0.779414,-0.026671642214469937,-3.27816,-45130518.962441444,-3.28695,1686443547.605848,10000000000.0,10000000000.0,-60.56217,72.42053
flare-networks,flr,Flare,0.02321458,1319200497,94,2388788663.0,11790541.0,0.02402582,0.02263363,-0.000400614238544605,-1.69643,-20967480.43039441,-1.56454,56821259877.47273,102891093325.7878,,-84.43897,182.24251
maker,mkr,Maker,1452.05,1297882963,95,1339516546.0,124532199.0,1505.19,1433.95,-42.661587892990156,-2.85418,-36737328.590428114,-2.75264,892842.2562354708,921482.9143242921,1005577.0,-76.81574,766.50497
kucoin-shares,kcs,KuCoin,10.56,1292492359,96,1503226844.0,308415.0,10.7,10.21,-0.003952062211807217,-0.0374,-2479039.239370823,-0.19144,122665482.1460797,142665482.1460797,,-63.23749,2991.20191
tezos,xtz,Tezos,1.25,1283280982,97,1308757286.0,64370621.0,1.29,1.24,-0.023553749731677787,-1.84623,-23498253.239076853,-1.79818,1023809168.58543,1044134314.759564,,-86.18572,259.31677
nexo,nexo,NEXO,1.28,1279927654,98,1279927654.0,7340530.0,1.3,1.24,0.0025005,0.19577,4518604.0,0.35429,1000000000.0,1000000000.0,1000000000.0,-68.49616,2738.29115
